index;EER_2020;EER_2025;EER_2030;EER_2035;EER_2040;EER_2045;Raumwaerme_2020_abs;Prozesswaerme_2020_abs;Klima- und Prozesskaelte_2020_abs;Strom_2020_abs;Raumwaerme_2025i_abs;Prozesswaerme_2025i_abs;Klima- und Prozesskaelte_2025i_abs;Strom_2025i_abs;Raumwaerme_2025b_abs;Prozesswaerme_2025b_abs;Klima- und Prozesskaelte_2025b_abs;Strom_2025b_abs;Raumwaerme_2030i_abs;Prozesswaerme_2030i_abs;Klima- und Prozesskaelte_2030i_abs;Strom_2030i_abs;Raumwaerme_2030b_abs;Prozesswaerme_2030b_abs;Klima- und Prozesskaelte_2030b_abs;Strom_2030b_abs;Raumwaerme_2035i_abs;Prozesswaerme_2035i_abs;Klima- und Prozesskaelte_2035i_abs;Strom_2035i_abs;Raumwaerme_2035b_abs;Prozesswaerme_2035b_abs;Klima- und Prozesskaelte_2035b_abs;Strom_2035b_abs;Raumwaerme_2040i_abs;Prozesswaerme_2040i_abs;Klima- und Prozesskaelte_2040i_abs;Strom_2040i_abs;Raumwaerme_2040b_abs;Prozesswaerme_2040b_abs;Klima- und Prozesskaelte_2040b_abs;Strom_2040b_abs;Raumwaerme_2045i_abs;Prozesswaerme_2045i_abs;Klima- und Prozesskaelte_2045i_abs;Strom_2045i_abs;Raumwaerme_2045b_abs;Prozesswaerme_2045b_abs;Klima- und Prozesskaelte_2045b_abs;Strom_2045b_abs
PtH Heizstab;0,99;0,99;0,99;0,99;0,99;0,99;41400;24300;0;0;31875;24225;0;0;32250;22950;0;0;29250;24000;0;0;30000;24000;0;0;26625;22500;0;0;27750;22500;0;0;24000;21000;0;0;25500;21000;0;0;22500;21000;0;0;24000;21000;0;0
PtH Luftwaermepumpe;3;3,2;3,4;3,5;3,6;3,8;3450;0;0;0;63750;10200;0;0;51600;6375;0;0;117000;12000;0;0;90000;6000;0;0;119812,5;11250;0;0;102675;8437,5;0;0;120000;10500;0;0;112200;10500;0;0;157500;10500;0;0;168000;10500;0;0
PtH Erdwaermepumpe;3,4;3,6;3,8;3,9;4;4,2;3450;0;0;0;57375;6375;0;0;51600;6375;0;0;99450;10800;0;0;90000;6000;0;0;98512,5;10687,5;0;0;83250;6750;0;0;96000;10500;0;0;76500;7350;0;0;90000;10500;0;0;72000;10500;0;0
Solarthermie;1;1;1;1;1;1;0;0;0;0;19125;1275;0;0;0;0;0;0;17550;1200;0;0;0;0;0;0;21300;3375;0;0;8325;1687,5;0;0;24000;5250;0;0;15300;3150;0;0;22500;5250;0;0;24000;5250;0;0
Festbrennstoffkessel;0,77;0,8;0,85;0,87;0,88;0,88;62100;12150;0;0;57375;11475;0;0;64500;11475;0;0;58500;12000;0;0;60000;12000;0;0;66562,5;14062,5;0;0;69375;14062,5;0;0;72000;15750;0;0;76500;15750;0;0;67500;21000;0;0;72000;21000;0;0
Heizkessel Gas;0,89;0,91;0,93;0,95;0,96;0,98;310500;43200;0;0;204000;29325;0;0;225750;31875;0;0;117000;18000;0;0;150000;24000;0;0;79875;11250;0;0;111000;16875;0;0;48000;5250;0;0;76500;10500;0;0;0;0;0;0;24000;0;0;0
Heizkessel Oel;0,84;0,87;0,9;0,93;0,96;0,98;151800;12150;0;0;89250;5100;0;0;103200;8925;0;0;29250;0;0;0;60000;6000;0;0;13312,5;0;0;0;41625;2812,5;0;0;0;0;0;0;25500;0;0;0;0;0;0;0;0;0;0;0
Kraftmaschine Oel;0,3;0,3;0,3;0,3;0,3;0,3;0;0;0;44850;0;0;0;29700;0;0;0;36300;0;0;0;15750;0;0;0;28350;0;0;0;7687,5;0;0;0;13500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Waermeuebergabestation;0,9;0,9;0,91;0,91;0,92;0,93;117300;43200;0;0;114750;39525;0;0;116100;39525;0;0;117000;42000;0;0;120000;42000;0;0;106500;39375;0;0;111000;39375;0;0;96000;36750;0;0;102000;36750;0;0;90000;36750;0;0;96000;36750;0;0
Kompressionskaelte;2,9;3,1;3,3;3,4;3,5;3,7;0;0;165000;0;0;0;180000;0;0;0;180000;0;0;0;195000;0;0;0;195000;0;0;0;217500;0;0;0;217500;0;0;0;240000;0;0;0;240000;0;0;0;270000;0;0;0;270000;0
Elektrogeraete;1;1;1;1;1;1;0;0;0;300150;0;0;0;300300;0;0;0;293700;0;0;0;299250;0;0;0;286650;0;0;0;299812,5;0;0;0;286500;0;0;0;300000;0;0;0;285000;0;0;0;285000;0;0;0;270000
