index;EER_2020;EER_2025;EER_2030;EER_2035;EER_2040;EER_2045;Raumwaerme_2020_abs;Raumwaerme_2025i_abs;Raumwaerme_2025b_abs;Raumwaerme_2030i_abs;Raumwaerme_2030b_abs;Raumwaerme_2035i_abs;Raumwaerme_2035b_abs;Raumwaerme_2040i_abs;Raumwaerme_2040b_abs;Raumwaerme_2045i_abs;Raumwaerme_2045b_abs;Strom_2020_abs;Strom_2025i_abs;Strom_2025b_abs;Strom_2030i_abs;Strom_2030b_abs;Strom_2035i_abs;Strom_2035b_abs;Strom_2040i_abs;Strom_2040b_abs;Strom_2045i_abs;Strom_2045b_abs;Klima- und Prozesskaelte_2020_abs;Klima- und Prozesskaelte_2025i_abs;Klima- und Prozesskaelte_2025b_abs;Klima- und Prozesskaelte_2030i_abs;Klima- und Prozesskaelte_2030b_abs;Klima- und Prozesskaelte_2035i_abs;Klima- und Prozesskaelte_2035b_abs;Klima- und Prozesskaelte_2040i_abs;Klima- und Prozesskaelte_2040b_abs;Klima- und Prozesskaelte_2045i_abs;Klima- und Prozesskaelte_2045b_abs
PtH Heizstab;0,99;0,99;0,99;0,99;0,99;0,99;152005;123535;123535;100573;100573;80264;86627;61843;63421;47286;47454;;;;;;;;;;;;;;;;;;;;;;
PtH Luftwaermepumpe;3;3,2;3,4;3,5;3,6;3,8;57002;226481;226481;426674;426674;564527;603501;632172;636557;633639;650519;;;;;;;;;;;;;;;;;;;;;;
PtH Erdwaermepumpe;3,4;3,6;3,8;3,9;4;4,2;57002;133830;133830;228575;228575;294303;314744;322957;324151;321548;326248;;;;;;;;;;;;;;;;;;;;;;
Solarthermie;1;1;1;1;1;1;57002;65199;65199;73144;73144;74913;80852;75586;75165;69984;71181;;;;;;;;;;;;;;;;;;;;;;
Festbrennstoffkessel;0,77;0,8;0,85;0,87;0,88;0,88;513016;480415;480415;444960;444960;401322;427359;352734;354687;298851;302521;;;;;;;;;;;;;;;;;;;;;;
Heizkessel Gas;0,89;0,91;0,93;0,95;0,96;0,98;1862057;1551054;1551054;1136781;1136781;802644;869156;515358;556694;228867;284726;;;;;;;;;;;;;;;;;;;;;;
Heizkessel Oel;0,84;0,87;0,9;0,93;0,96;0,98;722022;470120;470120;265147;265147;101668;124165;0;7047;0;0;;;;;;;;;;;;;;;;;;;;;;
Waermeuebergabestation;0,9;0,9;0,91;0,91;0,92;0,93;380012;380900;380900;371816;371816;355839;381158;329829;331198;291285;294612;;;;;;;;;;;;;;;;;;;;;;
Kompressionskaelte;2,9;3,1;3,3;3,4;3,5;3,7;;;;;;;;;;;;;;;;;;;;;;;30741;37375;33917;45219;37238;54825;40972;66522;45113;80516;49551
Elektrogeraete;1;1;1;1;1;1;;;;;;;;;;;;676305;659101;652503;639207;626474;621228;602759;604200;580369;586207;557449;;;;;;;;;;;
