id;name;eer_2020;eer_2025;eer_2030;eer_2035;eer_2040;eer_2045;raumwaerme_2020_abs;raumwaerme_2025_abs;raumwaerme_2030_abs;raumwaerme_2035_abs;raumwaerme_2040_abs;raumwaerme_2045_abs;strom_2020_abs;strom_2025_abs;strom_2030_abs;strom_2035_abs;strom_2040_abs;strom_2045_abs;klima_und_prozesskaelte_2020_abs;klima_und_prozesskaelte_2025_abs;klima_und_prozesskaelte_2030_abs;klima_und_prozesskaelte_2035_abs;klima_und_prozesskaelte_2040_abs;klima_und_prozesskaelte_2045_abs
0;PtH Heizstab;0,99;0,99;0,99;0,99;0,99;0,99;85191;69685;56998;49276;36128;27037;0;0;0;0;0;0;0;0;0;0;0;0
1;PtH Luftwaermepumpe;3;3,2;3,4;3,5;3,6;3,8;31947;127756;241811;343289;362614;370636;0;0;0;0;0;0;0;0;0;0;0;0
2;PtH Erdwaermepumpe;3,4;3,6;3,8;3,9;4;4,2;31947;75492;129542;179036;184652;185881;0;0;0;0;0;0;0;0;0;0;0;0
3;Solarthermie;1;1;1;1;1;1;31947;36778;41453;45991;42818;40556;0;0;0;0;0;0;0;0;0;0;0;0
4;Festbrennstoffkessel;0,77;0,8;0,85;0,87;0,88;0,88;287520;270998;252175;243095;202047;172363;0;0;0;0;0;0;0;0;0;0;0;0
5;Heizkessel Gas;0,89;0,91;0,93;0,95;0,96;0,98;1043590;874935;644255;494402;317120;162224;0;0;0;0;0;0;0;0;0;0;0;0
6;Heizkessel Oel;0,84;0,87;0,9;0,93;0,96;0,98;404657;265190;150269;70629;4014;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Waermeuebergabestation;0,9;0,9;0,91;0,91;0,92;0,93;212978;214862;210721;216814;188667;167856;0;0;0;0;0;0;0;0;0;0;0;0
8;Kompressionskaelte;2,9;3,1;3,3;3,4;3,5;3,7;0;0;0;0;0;0;0;0;0;0;0;0;16848;18591;20333;22276;24403;26674
9;Elektrogeraete;1;1;1;1;1;1;0;0;0;0;0;0;370648;357665;342077;327712;313936;300078;0;0;0;0;0;0
