index;EER_2020;EER_2025;EER_2030;EER_2035;EER_2040;EER_2045;Prozesswaerme_2020_abs;Prozesswaerme_2025i_abs;Prozesswaerme_2025b_abs;Prozesswaerme_2030i_abs;Prozesswaerme_2030b_abs;Prozesswaerme_2035i_abs;Prozesswaerme_2035b_abs;Prozesswaerme_2040i_abs;Prozesswaerme_2040b_abs;Prozesswaerme_2045i_abs;Prozesswaerme_2045b_abs;Raumwaerme_2020_abs;Raumwaerme_2025i_abs;Raumwaerme_2025b_abs;Raumwaerme_2030i_abs;Raumwaerme_2030b_abs;Raumwaerme_2035i_abs;Raumwaerme_2035b_abs;Raumwaerme_2040i_abs;Raumwaerme_2040b_abs;Raumwaerme_2045i_abs;Raumwaerme_2045b_abs;Strom_2020_abs;Strom_2025i_abs;Strom_2025b_abs;Strom_2030i_abs;Strom_2030b_abs;Strom_2035i_abs;Strom_2035b_abs;Strom_2040i_abs;Strom_2040b_abs;Strom_2045i_abs;Strom_2045b_abs;Klima- und Prozesskaelte_2020_abs;Klima- und Prozesskaelte_2025i_abs;Klima- und Prozesskaelte_2025b_abs;Klima- und Prozesskaelte_2030i_abs;Klima- und Prozesskaelte_2030b_abs;Klima- und Prozesskaelte_2035i_abs;Klima- und Prozesskaelte_2035b_abs;Klima- und Prozesskaelte_2040i_abs;Klima- und Prozesskaelte_2040b_abs;Klima- und Prozesskaelte_2045i_abs;Klima- und Prozesskaelte_2045b_abs;Stoffl. Nutzung_2020_abs;Stoffl. Nutzung_2025i_abs;Stoffl. Nutzung_2025b_abs;Stoffl. Nutzung_2030i_abs;Stoffl. Nutzung_2030b_abs;Stoffl. Nutzung_2035i_abs;Stoffl. Nutzung_2035b_abs;Stoffl. Nutzung_2040i_abs;Stoffl. Nutzung_2040b_abs;Stoffl. Nutzung_2045i_abs;Stoffl. Nutzung_2045b_abs
PtH Heizstab;0,99;0,99;0,99;0,99;0,99;0,99;336130;517555;489017;698979;641903;820259;709078;941539;776252;1039137;1003094;7900;7592;7686;7284;7472;6695;6948;6105;6423;5589;5956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PtH Luftwaermepumpe;3;3,2;3,4;3,5;3,6;3,8;;;;;;;;;;;;39502;48887;49637;58272;59772;67802;70568;77332;81364;85703;91325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PtH Erdwaermepumpe;2;2;2;2,1;2,2;2,4;0;16274;8137;32548;16274;45929;25930;59310;35586;70521;70521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Solarthermie;1;1;1;1;1;1;0;4882;0;9764;0;12296;4448;14828;8897;14104;14104;0;2428;2491;4856;4981;5481;5702;6105;6423;7452;7941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Festbrennstoffkessel;0,77;0,8;0,83;0,85;0,88;0,88;;;;;;;;;;;;73738;61149;61774;48560;49810;44631;46317;40701;42823;37262;39706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Festbrennstoffkessel_1;0,88;0,88;0,88;0,88;0,88;0,88;157087;155516;155516;153945;153945;174665;160138;195385;166330;193349;193349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkessel Gas;0,89;0,9;0,91;0,93;0,96;0,98;;;;;;;;;;;;126408;108122;109278;89836;92149;66286;68557;42736;44964;22357;23824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkessel Gas_1;0,93;0,94;0,95;0,95;0,96;0,98;1475245;1174921;1260930;874597;1046616;615425;857618;356253;668620;51408;209683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkessel Wasserstoff;0,93;0,94;0,95;0,95;0,96;0,98;0;63839;27524;127678;55048;200559;120058;273439;185068;434507;326379;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkessel Oel;0,84;0,87;0,9;0,93;0,96;0,98;0;0;0;0;0;0;0;0;0;0;0;7900;3950;3950;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waermeuebergabestation;0,9;0,9;0,91;0,91;0,92;0,93;149256;153007;144870;156758;140484;157031;148893;157303;157303;166924;152820;42136;38064;38501;33992;34867;32259;33492;30526;32117;27947;29780;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kompressionskaelte;2,9;3,1;3,3;3,4;3,5;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;297585;369042;330170;440498;362754;507400;402475;652045;442195;793313;488220;;;;;;;;;;;
Elektrogeraete;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;974393;950574;941344;926755;908294;894870;877487;881446;846680;859629;817458;;;;;;;;;;;;;;;;;;;;;;
Materialnutzung Gas;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3082;3082;3082;3082;3082;3082;3082;3082;3082;3082;3082
Materialnutzung Biomasse;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33258;60985;33258;88711;33258;130300;33258;171890;33258;255068;33258
Materialnutzung Oel;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;277262;249536;277262;221810;277262;180220;277262;138631;277262;55452;277262
Summe;;;;;;;2117717;2085994;2085994;2054270;2054270;2026164;2026164;1998057;1998057;1969950;1969950;297585;270193;273318;242801;249050;223153;231583;203506;214116;186311;198532;974393;950574;941344;926755;908294;894870;877487;881446;846680;859629;817458;297585;369042;330170;440498;362754;507400;402475;652045;442195;793313;488220;313603;313603;313603;313603;313603;313603;313603;313603;313603;313603;313603
