id;index;eer_2020;eer_2025;eer_2030;eer_2035;eer_2040;eer_2045;prozesswaerme_2020_abs;prozesswaerme_2025_abs;prozesswaerme_2030_abs;prozesswaerme_2035_abs;prozesswaerme_2040_abs;prozesswaerme_2045_abs;raumwaerme_2020_abs;raumwaerme_2025_abs;raumwaerme_2030_abs;raumwaerme_2035_abs;raumwaerme_2040_abs;raumwaerme_2045_abs;strom_2020_abs;strom_2025_abs;strom_2030_abs;strom_2035_abs;strom_2040_abs;strom_2045_abs;klima_und_prozesskaelte_2020_abs;klima_und_prozesskaelte_2025_abs;klima_und_prozesskaelte_2030_abs;klima_und_prozesskaelte_2035_abs;klima_und_prozesskaelte_2040_abs;klima_und_prozesskaelte_2045_abs;stoffl_nutzung_2020_abs;stoffl_nutzung_2025_abs;stoffl_nutzung_2030_abs;stoffl_nutzung_2035_abs;stoffl_nutzung_2040_abs;stoffl_nutzung_2045_abs
0;PtH Heizstab;0,99;0,99;0,99;0,99;0,99;0,99;229723;352937;476150;529242;582335;765339;4528;4405;4282;3981;3681;3413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;PtH Luftwaermepumpe;3;3,2;3,4;3,5;3,6;3,8;0;0;0;0;0;0;22638;28446;34254;40440;46627;52335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;PtH Erdwaermepumpe;2;2;2;2,1;2,2;2,4;0;4213;8427;13426;18426;36515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Solarthermie;1;1;1;1;1;1;0;0;0;2303;4607;7303;0;1427;2854;3268;3681;4551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Festbrennstoffkessel;0,77;0,8;0,83;0,85;0,88;0,88;0;0;0;0;0;0;42257;35401;28545;26543;24541;22754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Festbrennstoffkessel_1;0,88;0,88;0,88;0,88;0,88;0,88;286296;283433;280570;282542;284515;317362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Heizkessel Gas;0,89;0,9;0,91;0,93;0,96;0,98;0;0;0;0;0;0;72440;62624;52807;39288;25768;13653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Heizkessel Gas_1;0,93;0,94;0,95;0,95;0,96;0,98;1104272;942953;781635;650608;519581;163677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Heizkessel Wasserstoff;0,93;0,94;0,95;0,95;0,96;0,98;0;16965;33931;77559;121187;222596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Heizkessel Oel;0,84;0,87;0,9;0,93;0,96;0,98;0;0;0;0;0;0;4528;2264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Waermeuebergabestation;0,9;0,9;0,91;0,91;0,92;0,93;179592;176298;173004;176825;180645;177291;24147;22064;19981;19193;18405;17066;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Kompressionskaelte;2,9;3,1;3,3;3,4;3,5;3,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170536;189210;207883;230646;253408;279783;0;0;0;0;0;0
12;Elektrogeraete;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;558394;539454;520515;502860;485205;468459;0;0;0;0;0;0;0;0;0;0;0;0
13;Materialnutzung Gas;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1920;1920;1920;1920;1920;1920
14;Materialnutzung Biomasse;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20715;20715;20715;20715;20715;20715
15;Materialnutzung Oel;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172690;172690;172690;172690;172690;172690
