Index;Personenverkehr_2020_abs;Gueterverkehr_2020_abs;Personenverkehr_2025_abs;Gueterverkehr_2025_abs;Personenverkehr_2030_abs;Gueterverkehr_2030_abs;Personenverkehr_2035_abs;Gueterverkehr_2035_abs;Personenverkehr_2040_abs;Gueterverkehr_2040_abs;Personenverkehr_2045_abs;Gueterverkehr_2045_abs
PKW Verbrenner;3280012,539;;3072980,747;;2869855,119;;1930245,078;;1161396,633;;241900,5618;
PKW Verbrenner CNG;34852,55354;;16514,22796;;0;;0;;0;;0;
PKW - Batterie;2025,743658;;42396,51016;;78296,36742;;262874,4903;;330168,7936;;483753,4804;
PKW - Wasserstoff;0;;0;;0;;0;;0;;0;
Busse - Verbrenner;84202,59785;;78538,74347;;73013,72095;;84647,35292;;80009,68571;;31230,13753;
Busse - Batterie;699,6544362;;4438,282966;;7759,912371;;26418,08276;;33240,73899;;52582,24528;
Schiene - Verbrenner;78345,02582;47313,64065;77069,94088;51164,21066;75482,78397;55157,03997;81441,70272;55661,2228;74099,14733;56097,30181;35684,77957;29936,91239
Schiene - Batterie;39172,51291;18717,48421;43180,04274;22584,56449;46518,45989;26646,02565;56865,74997;29895,59622;55143,5515;33288,50876;72219,19675;47630,15683
Schiene - Wasserstoff;0;0;0;0;0;0;0;0;0;0;0;0
LKW - Verbrenner;;1431738,991;;1314662,201;;1188126,002;0;1046822,807;;895131,2169;;704111,0301
LKW - Batterie;;0;;154825,2097;;318773,1888;0;504302,1055;;700144,1789;;922566,1008
LKW - Wasserstoff;;0;;0;;0;0;0;;0;;0
