name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_el_2020;efficiency_el_2025;efficiency_el_2030;efficiency_el_2035;efficiency_el_2040;efficiency_el_2045;efficiency_el_2050;efficiency_th_2020;efficiency_th_2025;efficiency_th_2030;efficiency_th_2035;efficiency_th_2040;efficiency_th_2045;efficiency_th_2050;existing_factor;EE_factor;potential_north_2025;potential_middle_2025;potential_east_2025;potential_swest_2025
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;;;;;
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;;;;;
unit;;;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;;;mw;mw;mw;mw
description;;;investment costs for the year 2020 for biogas combined heat and power plant;investment costs for the year 2025 for biogas combined heat and power plant;investment costs for the year 2030 for biogas combined heat and power plant;investment costs for the year 2035 for biogas combined heat and power plant;investment costs for the year 2040 for biogas combined heat and power plant;investment costs for the year 2045 for biogas combined heat and power plant;investment costs for the year 2050 for biogas combined heat and power plant;operating costs for the year 2020 for biogas combined heat and power plant;operating costs for the year 2025 for biogas combined heat and power plant;operating costs for the year 2030 for biogas combined heat and power plant;operating costs for the year 2035 for biogas combined heat and power plant;operating costs for the year 2040 for biogas combined heat and power plant;operating costs for the year 2045 for biogas combined heat and power plant;operating costs for the year 2050 for biogas combined heat and power plant;lifetime for the year 2020 for biogas combined heat and power plant;lifetime for the year 2025 for biogas combined heat and power plant;lifetime for the year 2030 for biogas combined heat and power plant;lifetime for the year 2035 for biogas combined heat and power plant;lifetime for the year 2040 for biogas combined heat and power plant;lifetime for the year 2045 for biogas combined heat and power plant;lifetime for the year 2050 for biogas combined heat and power plant;efficiency el for the year 2020 for biogas combined heat and power plant;efficiency el for the year 2025 for biogas combined heat and power plant;efficiency el for the year 2030 for biogas combined heat and power plant;efficiency el for the year 2035 for biogas combined heat and power plant;efficiency el for the year 2040 for biogas combined heat and power plant;efficiency el for the year 2045 for biogas combined heat and power plant;efficiency el for the year 2050 for biogas combined heat and power plant;efficiency th for the year 2020 for biogas combined heat and power plant;efficiency th for the year 2025 for biogas combined heat and power plant;efficiency th for the year 2030 for biogas combined heat and power plant;efficiency th for the year 2035 for biogas combined heat and power plant;efficiency th for the year 2040 for biogas combined heat and power plant;efficiency th for the year 2045 for biogas combined heat and power plant;efficiency th for the year 2050 for biogas combined heat and power plant;existing f for the year ctor for biogas combined heat and power plant;EE f for the year ctor for biogas combined heat and power plant;potential north for the year 2025 for biogas combined heat and power plant;potential middle for the year 2025 for biogas combined heat and power plant;potential east for the year 2025 for biogas combined heat and power plant;potential swest for the year 2025 for biogas combined heat and power plant
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;2395000;;2393000;;2390000;;;5,02;;5,02;;5,02;;;30;;30;;30;;;38;;38;;38;;;49;;49;;49;1;-1;26,396;26,93;67,862;23,711
data;2;BS0002;2225000;2166666,667;2108333,333;2050000;1991666,667;1933333,333;1875000;10,148;9,245212121;8,342424242;8,678373412;9,014322581;9,313626808;9,612931034;25;27,5;30;30;30;30;30;43;43,6666667;44,3333333;45;45,6666667;46,3333333;47;50;49,5;49;48,5;48;47,5;47;1;-1;26,396;26,93;67,862;23,711
data;3;BS0003;2862500;2783333,333;2704166,667;2625000;2545833,333;2466666,667;2387500;10,148;9,245212121;8,342424242;8,678373412;9,014322581;9,313626808;9,612931034;25;27,5;30;30;30;30;30;43;43,6666667;44,3333333;45;45,6666667;46,3333333;47;50;49,5;49;48,5;48;47,5;47;1;-1;26,396;26,93;67,862;23,711
data;4;BS0004;1587500;1550000;1512500;1475000;1437500;1400000;1362500;10,148;9,245212121;8,342424242;8,678373412;9,014322581;9,313626808;9,612931034;25;27,5;30;30;30;30;30;43;43,6666667;44,3333333;45;45,6666667;46,3333333;47;50;49,5;49;48,5;48;47,5;47;1;-1;26,396;26,93;67,862;23,711
data;5;BS0005;2225000;2167000;2108000;2050000;1992000;1933000;1875000;5;5;5;5;5;5;5;25;25;25;25;25;25;25;43;43;43;43;43;43;43;50;50;50;50;50;50;50;1;-1;26,396;26,93;67,862;23,711
data;6;BS0006;2225000;2167000;2108000;2050000;1992000;1933000;1875000;5;5;5;5;5;5;5;25;25;25;25;25;25;25;43;43;43;43;43;43;43;50;50;50;50;50;50;50;1;-1;26,396;26,93;67,862;23,711
