name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_2020;efficiency_2025;efficiency_2030;efficiency_2035;efficiency_2040;efficiency_2045;efficiency_2050;potential;potential_middle_max;potential_east_max;potential_swest_max;EE_factor;potential_north_min;potential_middle_min;potential_east_min;potential_swest_min
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
unit;;;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent;percent;percent;percent;percent;mw;mw;mw;mw;;mw;mw;mw;mw
description;;;investment costs for the year 2020 for biomass to liquid system;investment costs for the year 2025 for biomass to liquid system;investment costs for the year 2030 for biomass to liquid system;investment costs for the year 2035 for biomass to liquid system;investment costs for the year 2040 for biomass to liquid system;investment costs for the year 2045 for biomass to liquid system;investment costs for the year 2050 for biomass to liquid system;operating costs for the year 2020 for biomass to liquid system;operating costs for the year 2025 for biomass to liquid system;operating costs for the year 2030 for biomass to liquid system;operating costs for the year 2035 for biomass to liquid system;operating costs for the year 2040 for biomass to liquid system;operating costs for the year 2045 for biomass to liquid system;operating costs for the year 2050 for biomass to liquid system;lifetime for the year 2020 for biomass to liquid system;lifetime for the year 2025 for biomass to liquid system;lifetime for the year 2030 for biomass to liquid system;lifetime for the year 2035 for biomass to liquid system;lifetime for the year 2040 for biomass to liquid system;lifetime for the year 2045 for biomass to liquid system;lifetime for the year 2050 for biomass to liquid system;efficiency for the year 2020 for biomass to liquid system;efficiency for the year 2025 for biomass to liquid system;efficiency for the year 2030 for biomass to liquid system;efficiency  for the year 0235 for biomass to liquid system;efficiency for the year 2040 for biomass to liquid system;efficiency for the year 2045 for biomass to liquid system;efficiency for the year 2050 for biomass to liquid system;pote for the year tial for biomass to liquid system;potential middl for the year _max for biomass to liquid system;potential eas for the year _max for biomass to liquid system;potential swes for the year _max for biomass to liquid system;EE f for the year ctor for biomass to liquid system;potential nort for the year _min for biomass to liquid system;potential middl for the year _min for biomass to liquid system;potential eas for the year _min for biomass to liquid system;potential swes for the year _min for biomass to liquid system
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;2;BS0002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;3;BS0003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;4;BS0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;5;BS0005;176000;176000;176000;176000;176000;176000;176000;5;5;5;5;5;5;5;20;20;20;20;20;20;20;60;60;60;60;60;60;60;;;;;-1;;;;
data;6;BS0006;176000;176000;176000;176000;176000;176000;176000;5;5;5;5;5;5;5;20;20;20;20;20;20;20;60;60;60;60;60;60;60;;;;;-1;;;;
