name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_el_2020;efficiency_el_2025;efficiency_el_2030;efficiency_el_2035;efficiency_el_2040;efficiency_el_2045;efficiency_el_2050;efficiency_th_2020;efficiency_th_2025;efficiency_th_2030;efficiency_th_2035;efficiency_th_2040;efficiency_th_2045;efficiency_th_2050;potential_total
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
unit;;;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;mw
description;;;investment costs for the year 2020 for combined heat and power generating unit;investment costs for the year 2025 for combined heat and power generating unit;investment costs for the year 2030 for combined heat and power generating unit;investment costs for the year 2035 for combined heat and power generating unit;investment costs for the year 2040 for combined heat and power generating unit;investment costs for the year 2045 for combined heat and power generating unit;investment costs for the year 2050 for combined heat and power generating unit;operating costs for the year 2020 for combined heat and power generating unit;operating costs for the year 2025 for combined heat and power generating unit;operating costs for the year 2030 for combined heat and power generating unit;operating costs for the year 2035 for combined heat and power generating unit;operating costs for the year 2040 for combined heat and power generating unit;operating costs for the year 2045 for combined heat and power generating unit;operating costs for the year 2050 for combined heat and power generating unit;lifetime for the year 2020 for combined heat and power generating unit;lifetime for the year 2025 for combined heat and power generating unit;lifetime for the year 2030 for combined heat and power generating unit;lifetime for the year 2035 for combined heat and power generating unit;lifetime for the year 2040 for combined heat and power generating unit;lifetime for the year 2045 for combined heat and power generating unit;lifetime for the year 2050 for combined heat and power generating unit;efficiency el for the year 2020 for combined heat and power generating unit;efficiency el for the year 2025 for combined heat and power generating unit;efficiency el for the year 2030 for combined heat and power generating unit;efficiency el for the year 2035 for combined heat and power generating unit;efficiency el for the year 2040 for combined heat and power generating unit;efficiency el for the year 2045 for combined heat and power generating unit;efficiency el for the year 2050 for combined heat and power generating unit;efficiency th for the year 2020 for combined heat and power generating unit;efficiency th for the year 2025 for combined heat and power generating unit;efficiency th for the year 2030 for combined heat and power generating unit;efficiency th for the year 2035 for combined heat and power generating unit;efficiency th for the year 2040 for combined heat and power generating unit;efficiency th for the year 2045 for combined heat and power generating unit;efficiency th for the year 2050 for combined heat and power generating unit;pote for the year tial for combined heat and power generating unit
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;1020000;;1020000;;1020000;;;4,02;;4,02;;4,02;;;30;;30;;30;;;45;;45;;45;;;43;;43;;43;444,5
data;2;BS0002;850000;850000;850000;850000;850000;850000;850000;3;3;3;3;3;3;3;35;35;35;35;35;35;35;56;57;59;60;61;62;63;40;39,45;38,9;38,35;37,8;37,25;36,7;444,5
data;3;BS0003;980000;970000;960000;950000;940000;930000;920000;3;3;3;3;3;3;3;40;40;40;40;40;40;40;60;60,8;61,6;62,4;63,2;63,5;63,5;43;42,54166667;42,08333333;41,625;41,16666667;40,70833333;40,25;444,5
data;4;BS0004;730000;719333,3333;708666,6667;700000;700000;700000;700000;3;3;3;3;3;3;3;30;30;30;30;30;30;30;48;48,575;49,15;49,725;50,3;50,875;51,45;37,5;37,05;36,6;36,15;35,7;35,25;34,8;444,5
data;5;BS0005;850000;850000;850000;850000;850000;850000;850000;3;3;3;3;3;3;3;30;30;30;30;30;30;30;56;58;58;58;58;58;58;40;40;40;40;40;40;40;444,5
data;6;BS0006;850000;850000;850000;850000;850000;850000;850000;3;3;3;3;3;3;3;30;30;30;30;30;30;30;56;58;58;58;58;58;58;40;40;40;40;40;40;40;444,5
