name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_2020;efficiency_2025;efficiency_2030;efficiency_2035;efficiency_2040;efficiency_2045;efficiency_2050;potential
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
unit;;;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent;percent;percent;percent;percent;mw
description;;;investment costs for the year 2020 for electrical heater;investment costs for the year 2025 for electrical heater;investment costs for the year 2030 for electrical heater;investment costs for the year 2035 for electrical heater;investment costs for the year 2040 for electrical heater;investment costs for the year 2045 for electrical heater;investment costs for the year 2050 for electrical heater;operating costs for the year 2020 for electrical heater;operating costs for the year 2025 for electrical heater;operating costs for the year 2030 for electrical heater;operating costs for the year 2035 for electrical heater;operating costs for the year 2040 for electrical heater;operating costs for the year 2045 for electrical heater;operating costs for the year 2050 for electrical heater;lifetime for the year 2020 for electrical heater;lifetime for the year 2025 for electrical heater;lifetime for the year 2030 for electrical heater;lifetime for the year 2035 for electrical heater;lifetime for the year 2040 for electrical heater;lifetime for the year 2045 for electrical heater;lifetime for the year 2050 for electrical heater;efficiency for the year 2020 for electrical heater;efficiency for the year 2025 for electrical heater;efficiency for the year 2030 for electrical heater;efficiency  for the year 0235 for electrical heater;efficiency for the year 2040 for electrical heater;efficiency for the year 2045 for electrical heater;efficiency for the year 2050 for electrical heater;pote for the year tial for electrical heater
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;100000;;100000;;100000;;;2;;2;;2;;;20;;20;;20;;;99;;99;;99;
data;2;BS0002;80000;80000;80000;80000;80000;80000;80000;1,764285715;1,803846154;1,85;1,829166667;1,808333334;1,7875;1,766666667;22,5;22,5;22,5;22,5;22,5;22,5;22,5;98,5;98,5;98,5;98,5;98,5;98,5;98,5;
data;3;BS0003;108000;108000;108000;108000;108000;108000;108000;1,882142857;1,901923077;1,925;1,914583333;1,904166667;1,89375;1,883333333;23,75;23,75;23,75;23,75;23,75;23,75;23,75;98,75;98,75;98,75;98,75;98,75;98,75;98,75;
data;4;BS0004;77218,04513;74559,61334;71901,18154;71901,18154;71901,18154;71901,18154;71901,18154;1,646428572;1,705769231;1,775;1,74375;1,7125;1,68125;1,65;21,25;21,25;21,25;21,25;21,25;21,25;21,25;98,25;98,25;98,25;98,25;98,25;98,25;98,25;
data;5;BS0005;80000;80000;80000;80000;80000;80000;80000;2;2;2;2;2;2;2;20;20;20;20;20;20;20;99;99;99;99;99;99;99;
data;6;BS0006;80000;80000;80000;80000;80000;80000;80000;2;2;2;2;2;2;2;20;20;20;20;20;20;20;99;99;99;99;99;99;99;
