name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_2020;efficiency_2025;efficiency_2030;efficiency_2035;efficiency_2040;efficiency_2045;efficiency_2050;EE_factor;potential_north_min;potential_middle_min;potential_east_min;potential_swest_min;potential_north_max_2020;potential_middle_max_2020;potential_east_max_2020;potential_swest_max_2020;potential_north_max_2025;potential_middle_max_2025;potential_east_max_2025;potential_swest_max_2025;potential_north_max_2030;potential_middle_max_2030;potential_east_max_2030;potential_swest_max_2030;potential_north_max_2035;potential_middle_max_2035;potential_east_max_2035;potential_swest_max_2035;potential_north_max_2040;potential_middle_max_2040;potential_east_max_2040;potential_swest_max_2040;potential_north_max_2045;potential_middle_max_2045;potential_east_max_2045;potential_swest_max_2045
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
unit;;;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent;percent;percent;percent;percent;;mw;mw;mw;mw;mw;mw;mw;mw;mw;mw;mw;mw;mw;mw;mw;mw;mw;mw;mw;mw;mw;mw;mw;mw;mw;mw;mw;mw
description;;;investment costs for the year 2020 for onshore wind power plant;investment costs for the year 2025 for onshore wind power plant;investment costs for the year 2030 for onshore wind power plant;investment costs for the year 2035 for onshore wind power plant;investment costs for the year 2040 for onshore wind power plant;investment costs for the year 2045 for onshore wind power plant;investment costs for the year 2050 for onshore wind power plant;operating costs for the year 2020 for onshore wind power plant;operating costs for the year 2025 for onshore wind power plant;operating costs for the year 2030 for onshore wind power plant;operating costs for the year 2035 for onshore wind power plant;operating costs for the year 2040 for onshore wind power plant;operating costs for the year 2045 for onshore wind power plant;operating costs for the year 2050 for onshore wind power plant;lifetime for the year 2020 for onshore wind power plant;lifetime for the year 2025 for onshore wind power plant;lifetime for the year 2030 for onshore wind power plant;lifetime for the year 2035 for onshore wind power plant;lifetime for the year 2040 for onshore wind power plant;lifetime for the year 2045 for onshore wind power plant;lifetime for the year 2050 for onshore wind power plant;efficiency for the year 2020 for onshore wind power plant;efficiency for the year 2025 for onshore wind power plant;efficiency for the year 2030 for onshore wind power plant;efficiency  for the year 0235 for onshore wind power plant;efficiency for the year 2040 for onshore wind power plant;efficiency for the year 2045 for onshore wind power plant;efficiency for the year 2050 for onshore wind power plant;EE f for the year ctor for onshore wind power plant;potential nort for the year _min for onshore wind power plant;potential middl for the year _min for onshore wind power plant;potential eas for the year _min for onshore wind power plant;potential swes for the year _min for onshore wind power plant;potential nort for the year _max for onshore wind power plant;potential middl for the year _max for onshore wind power plant;potential eas for the year _max for onshore wind power plant;potential swes for the year _max for onshore wind power plant;potential nort for the year _max for onshore wind power plant;potential middl for the year _max for onshore wind power plant;potential eas for the year _max for onshore wind power plant;potential swes for the year _max for onshore wind power plant;potential nort for the year _max for onshore wind power plant;potential middl for the year _max for onshore wind power plant;potential eas for the year _max for onshore wind power plant;potential swes for the year _max for onshore wind power plant;potential nort for the year _max for onshore wind power plant;potential middl for the year _max for onshore wind power plant;potential eas for the year _max for onshore wind power plant;potential swes for the year _max for onshore wind power plant;potential nort for the year _max for onshore wind power plant;potential middl for the year _max for onshore wind power plant;potential eas for the year _max for onshore wind power plant;potential swes for the year _max for onshore wind power plant;potential nort for the year _max for onshore wind power plant;potential middl for the year _max for onshore wind power plant;potential eas for the year _max for onshore wind power plant;potential swes for the year _max for onshore wind power plant
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;1055000;;997000;;938000;;;1,84;;1,84;;1,84;;;25;;25;;25;100;100;100;100;100;100;100;-1;638,445;633,4;378,165;173,22;;;;;;;;;;;;;;;;;;;;;;;;
data;2;BS0002;1290000;1210000;1150000;1112500;1075000;1037500;1020840;2,415;2,425;2,475;2,46;2,44;2,42;2,45;22,5;22,5;22,5;22,5;25;25;25;100;100;100;100;100;100;100;-1;638,445;633,4;378,165;173,22;;;;;;;;;;;;;;;;;;;;;;;;
data;3;BS0003;1424225;1367485;1329240;1302995;1283255;1257345;1208500;2,875;2,875;2,875;2,875;2,875;2,875;2,875;24,5;24,5;25;25;25;25,5;25,5;100;100;100;100;100;100;100;-1;638,445;633,4;378,165;173,22;;;;;;;;;;;;;;;;;;;;;;;;
data;4;BS0004;1225000;1175000;1117955;1082500;1050000;1028235;1000000;2,0825;2,0875;2,1125;2,105;2,095;2,085;2,1;20;20;20;20;21,25;21,25;21,25;100;100;100;100;100;100;100;-1;638,445;633,4;378,165;173,22;;;;;;;;;;;;;;;;;;;;;;;;
data;5;BS0005;1290000;1210000;1150000;1113000;1075000;1037000;1021000;2,5;2,5;2,5;2,5;2,5;2,5;2,5;25;25;25;25;25;25;25;100;100;100;100;100;100;100;-1;638,445;633,4;378,165;173,22;;;;;;;;;;;;;;;;;;;;;;;;
data;6;BS0006;1290000;1210000;1150000;1113000;1075000;1037000;1021000;2,5;2,5;2,5;2,5;2,5;2,5;2,5;25;25;25;25;25;25;25;100;100;100;100;100;100;100;-1;638,445;633,4;378,165;173,22;1000;1000;1000;1000;1000;1000;1000;1000;2717;1973;1990;2070;3321;2411;2432;2530;3321;2411;2432;2530;3321;2411;2432;2530
