name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_in_2020;efficiency_in_2025;efficiency_in_2030;efficiency_in_2035;efficiency_in_2040;efficiency_in_2045;efficiency_in_2050;efficiency_out_2020;efficiency_out_2025;efficiency_out_2030;efficiency_out_2035;efficiency_out_2040;efficiency_out_2045;efficiency_out_2050;potential_total;inverse_c_rate;balanced;initial_storage_level
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;bool;float
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
unit;;;eur per mwh;eur per mwh;eur per mwh;eur per mwh;eur per mwh;eur per mwh;eur per mwh;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;mwh;;;
description;;;investment costs for the year 2020 for storage electricity;investment costs for the year 2025 for storage electricity;investment costs for the year 2030 for storage electricity;investment costs for the year 2035 for storage electricity;investment costs for the year 2040 for storage electricity;investment costs for the year 2045 for storage electricity;investment costs for the year 2050 for storage electricity;operating costs for the year 2020 for storage electricity;operating costs for the year 2025 for storage electricity;operating costs for the year 2030 for storage electricity;operating costs for the year 2035 for storage electricity;operating costs for the year 2040 for storage electricity;operating costs for the year 2045 for storage electricity;operating costs for the year 2050 for storage electricity;lifetime for the year 2020 for storage electricity;lifetime for the year 2025 for storage electricity;lifetime for the year 2030 for storage electricity;lifetime for the year 2035 for storage electricity;lifetime for the year 2040 for storage electricity;lifetime for the year 2045 for storage electricity;lifetime for the year 2050 for storage electricity;efficiency in for the year 2020 for storage electricity;efficiency in for the year 2025 for storage electricity;efficiency in for the year 2030 for storage electricity;efficiency in for the year 2035 for storage electricity;efficiency in for the year 2040 for storage electricity;efficiency in for the year 2045 for storage electricity;efficiency in for the year 2050 for storage electricity;efficiency out for the year 2020 for storage electricity;efficiency out for the year 2025 for storage electricity;efficiency out for the year 2030 for storage electricity;efficiency out for the year 2035 for storage electricity;efficiency out for the year 2040 for storage electricity;efficiency out for the year 2045 for storage electricity;efficiency out for the year 2050 for storage electricity;potential  for the year for storage electricity;inverse c for the year rate for storage electricity;bal for the year nced for storage electricity;initial storage  for the year evel for storage electricity
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;87500;;87500;;87500;;;0,3;;0,3;;0,3;;;15;;15;;15;;;100;;100;;100;;;90;;90;;90;5000;4;1;0,5
data;2;BS0002;400000;289432,5;244582;221765,5;187932;154098,5;120000;1;1;1;1;1;1;1;12,5;12,5;15;15;17,5;17,5;17,5;92;92,1666667;92,3333333;92,5;92,6666667;92,8333333;93;94;94,3333333;94,6666667;95;95,3333333;95,6666667;96;5000;4;1;0,5
data;3;BS0003;660020;556557,5;452995;413240,5;373482;326897,5;224840;2,5;2,5;2,5;2,5;2,5;2,5;2,5;13,75;13,75;15;15;18,75;18,75;18,75;94;94,3333333;94,6666667;95;95,3333333;95,6666667;96;94;94,3333333;94,6666667;95;95,3333333;95,6666667;96;5000;4;1;0,5
data;4;BS0004;336500;275000;209850,5;175517,25;141184;125850,75;104100;0,65;0,65;0,65;0,65;0,65;0,65;0,65;11,25;11,25;15;15;16,25;16,25;16,25;88,95;89,125;89,3;89,45;89,625;89,8;90;94;94,3333333;94,6666667;95;95,3333333;95,6666667;96;5000;4;1;0,5
data;5;BS0005;350000;275000;195000;175000;125000;113000;100000;1;1;1;1;1;1;1;15;15;15;15;15;15;15;100;100;100;100;100;100;100;93;93;93;93;93;93;93;5000;20;1;0,5
data;6;BS0006;350000;275000;195000;175000;125000;113000;100000;1;1;1;1;1;1;1;15;15;15;15;15;15;15;100;100;100;100;100;100;100;93;93;93;93;93;93;93;5000;20;1;None
