name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_in_2020;efficiency_in_2025;efficiency_in_2030;efficiency_in_2035;efficiency_in_2040;efficiency_in_2045;efficiency_in_2050;efficiency_out_2020;efficiency_out_2025;efficiency_out_2030;efficiency_out_2035;efficiency_out_2040;efficiency_out_2045;efficiency_out_2050;potential_total;inverse_c_rate;loss_rate;balanced;initial_storage_level
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
unit;;;eur per mwh;eur per mwh;eur per mwh;eur per mwh;eur per mwh;eur per mwh;eur per mwh;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;mwh;mwh;pro Tag;mwh;mwh
description;;;investment costs for the year 2020 for storage electricity pumped hydro storage power technology;investment costs for the year 2025 for storage electricity pumped hydro storage power technology;investment costs for the year 2030 for storage electricity pumped hydro storage power technology;investment costs for the year 2035 for storage electricity pumped hydro storage power technology;investment costs for the year 2040 for storage electricity pumped hydro storage power technology;investment costs for the year 2045 for storage electricity pumped hydro storage power technology;investment costs for the year 2050 for storage electricity pumped hydro storage power technology;operating costs for the year 2020 for storage electricity pumped hydro storage power technology;operating costs for the year 2025 for storage electricity pumped hydro storage power technology;operating costs for the year 2030 for storage electricity pumped hydro storage power technology;operating costs for the year 2035 for storage electricity pumped hydro storage power technology;operating costs for the year 2040 for storage electricity pumped hydro storage power technology;operating costs for the year 2045 for storage electricity pumped hydro storage power technology;operating costs for the year 2050 for storage electricity pumped hydro storage power technology;lifetime for the year 2020 for storage electricity pumped hydro storage power technology;lifetime for the year 2025 for storage electricity pumped hydro storage power technology;lifetime for the year 2030 for storage electricity pumped hydro storage power technology;lifetime for the year 2035 for storage electricity pumped hydro storage power technology;lifetime for the year 2040 for storage electricity pumped hydro storage power technology;lifetime for the year 2045 for storage electricity pumped hydro storage power technology;lifetime for the year 2050 for storage electricity pumped hydro storage power technology;efficiency in for the year 2020 for storage electricity pumped hydro storage power technology;efficiency in for the year 2025 for storage electricity pumped hydro storage power technology;efficiency in for the year 2030 for storage electricity pumped hydro storage power technology;efficiency in for the year 2035 for storage electricity pumped hydro storage power technology;efficiency in for the year 2040 for storage electricity pumped hydro storage power technology;efficiency in for the year 2045 for storage electricity pumped hydro storage power technology;efficiency in for the year 2050 for storage electricity pumped hydro storage power technology;efficiency out for the year 2020 for storage electricity pumped hydro storage power technology;efficiency out for the year 2025 for storage electricity pumped hydro storage power technology;efficiency out for the year 2030 for storage electricity pumped hydro storage power technology;efficiency out for the year 2035 for storage electricity pumped hydro storage power technology;efficiency out for the year 2040 for storage electricity pumped hydro storage power technology;efficiency out for the year 2045 for storage electricity pumped hydro storage power technology;efficiency out for the year 2050 for storage electricity pumped hydro storage power technology;potential Hö for the year _min for storage electricity pumped hydro storage power technology;potentia for the year _max for storage electricity pumped hydro storage power technology;potential swes for the year _min for storage electricity pumped hydro storage power technology;potential eas for the year _min for storage electricity pumped hydro storage power technology;potential middl for the year _min for storage electricity pumped hydro storage power technology
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;750;;750;;750;;;0,25;;0,25;;0,25;;;20;;20;;20;;;100;;100;;100;;;100;;100;;100;500000;10;0,002094;1;0,5
data;2;BS0002;14700;14700;14700;14700;14700;14700;14700;1;1;1;1;1;1;1;20;20;20;20;20;20;20;95;95;95;95;95;95;95;95;95;95;95;95;95;95;500000;10;0,002094;1;0,5
data;3;BS0003;14700;14700;14700;14700;14700;14700;14700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;4;BS0004;14700;14700;14700;14700;14700;14700;14700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;5;BS0005;4000;4000;4000;4000;4000;4000;4000;1;1;1;1;1;1;1;20;20;20;20;20;20;20;100;100;100;100;100;100;100;96,5;96,5;96,5;96,5;96,5;96,5;96,5;500000;24;0,002094;1;0,5
data;6;BS0006;4000;4000;4000;4000;4000;4000;4000;1;1;1;1;1;1;1;20;20;20;20;20;20;20;100;100;100;100;100;100;100;96,5;96,5;96,5;96,5;96,5;96,5;96,5;500000;24;0,002094;1;None
