index;Einheit;System;
Anzahl_Zeitschritte;h;8760;
Zinssatz;%;10,5;
Emission_Erdgas;kg_CO2/MWh;201;
Emission_Oel;kg_CO2/MWh;266;
Emission_Steinkohle;kg_CO2/MWh;336;
Emission_Braunkohle;kg_CO2/MWh;407;
Emission_Strom_2050;kg_CO2/MWh;78,47;
Emission_Strom_2040;kg_CO2/MWh;98,42;
Emission_Strom_2030;kg_CO2/MWh;216,62;
CO2_Preis_2050;€/kg_CO2;0,12175;0,165
CO2_Preis_2040;€/kg_CO2;0,11101;0,14
CO2_Preis_2030;€/kg_CO2;0,07898;0,075
CO2_Grenze_2050;kg_CO2;1500000000;
CO2_Grenze_2040;kg_CO2;6000000000;
CO2_Grenze_2030;kg_CO2;9000000000;
Menge_Steinkohle;MW;5,707762557;
Menge_Braunkohle;MW;42,17402334;
